NUM     NOME      itp   DI HI M DF HF M      VAZAO
XXX XXXXXXXXXXXX   X    XXxXXxXxXXxXXxX     XXXXXXXXX
139 CANDONGA       1    28      F                 178
139 CANDONGA       1    29      F                 185
139 CANDONGA       1    30      F                 193
139 CANDONGA       1    31      F                 183
139 CANDONGA       1    01      F                 176
139 CANDONGA       1    02      F                 182
262 SALTO          1    27      F                 101
262 SALTO          1    28      F                  97
262 SALTO          1    29      F                  93
262 SALTO          1    30      F                  91
262 SALTO          1    31      F                  89
262 SALTO          1    01      F                  88
262 SALTO          1    02      F                  87
 88 SAO ROQUE      1    27      F                 466
 88 SAO ROQUE      1    28      F                 415
 88 SAO ROQUE      1    29      F                 381
 88 SAO ROQUE      1    30      F                 356
 88 SAO ROQUE      1    31      F                 326
 88 SAO ROQUE      1    01      F                 293
 88 SAO ROQUE      1    02      F                 264
 89 GARIBALDI      1    27      F                 103
 89 GARIBALDI      1    28      F                  92
 89 GARIBALDI      1    29      F                  84
 89 GARIBALDI      1    30      F                  79
 89 GARIBALDI      1    31      F                  72
 89 GARIBALDI      1    01      F                  65
 89 GARIBALDI      1    02      F                  59
144 MASCARENHAS    1    27      F                 548
144 MASCARENHAS    1    28      F                 611
144 MASCARENHAS    1    29      F                 646
144 MASCARENHAS    1    30      F                 609
144 MASCARENHAS    1    31      F                 556
144 MASCARENHAS    1    01      F                 490
144 MASCARENHAS    1    02      F                 425
 66 ITAIPU         1    27      F                2834
 66 ITAIPU         1    28      F                2582
 66 ITAIPU         1    29      F                2390
 66 ITAIPU         1    30      F                2246
 66 ITAIPU         1    31      F                2131
 66 ITAIPU         1    01      F                2034
 66 ITAIPU         1    02      F                1951
110 ERNESTINA      1    27      F                  25
110 ERNESTINA      1    29      F                  27
110 ERNESTINA      1    30      F                  25
110 ERNESTINA      1    31      F                  23
110 ERNESTINA      1    01      F                  22
110 ERNESTINA      1    02      F                  21
111 PASSO REAL     1    27      F                 191
111 PASSO REAL     1    28      F                 179
111 PASSO REAL     1    29      F                 170
111 PASSO REAL     1    30      F                 165
111 PASSO REAL     1    31      F                 159
111 PASSO REAL     1    01      F                 153
111 PASSO REAL     1    02      F                 149
112 JACUI          1    27      F                   1
113 ITAUBA         1    27      F                  13
113 ITAUBA         1    29      F                  14
113 ITAUBA         1    30      F                  15
113 ITAUBA         1    02      F                  13
114 D. FRANCISCA   1    27      F                  15
114 D. FRANCISCA   1    28      F                  14
114 D. FRANCISCA   1    29      F                  15
114 D. FRANCISCA   1    30      F                  16
114 D. FRANCISCA   1    31      F                  17
114 D. FRANCISCA   1    01      F                  16
114 D. FRANCISCA   1    02      F                  15
 74 G.B. MUNHOZ    1    27      F                 625
 74 G.B. MUNHOZ    1    28      F                 617
 74 G.B. MUNHOZ    1    29      F                 608
 74 G.B. MUNHOZ    1    30      F                 576
 74 G.B. MUNHOZ    1    31      F                 536
 74 G.B. MUNHOZ    1    01      F                 499
 74 G.B. MUNHOZ    1    02      F                 466
 76 SEGREDO        1    27      F                 127
 76 SEGREDO        1    28      F                 122
 76 SEGREDO        1    29      F                 111
 76 SEGREDO        1    30      F                 103
 76 SEGREDO        1    31      F                  98
 76 SEGREDO        1    01      F                  95
 76 SEGREDO        1    02      F                  93
 82 SALTO CAXIAS   1    27      F                 181
 82 SALTO CAXIAS   1    28      F                 159
 82 SALTO CAXIAS   1    29      F                 138
 82 SALTO CAXIAS   1    30      F                 120
 82 SALTO CAXIAS   1    31      F                 106
 82 SALTO CAXIAS   1    01      F                  93
 82 SALTO CAXIAS   1    02      F                  83
 83 BAIXO IGUACU   1    27      F                  72
 83 BAIXO IGUACU   1    28      F                  63
 83 BAIXO IGUACU   1    29      F                  55
 83 BAIXO IGUACU   1    30      F                  48
 83 BAIXO IGUACU   1    31      F                  42
 83 BAIXO IGUACU   1    01      F                  37
 83 BAIXO IGUACU   1    02      F                  33
115 G.P. SOUZA     1    27      F                  21
115 G.P. SOUZA     1    29      F                  20
115 G.P. SOUZA     1    30      F                  19
115 G.P. SOUZA     1    31      F                  18
115 G.P. SOUZA     1    01      F                  19
115 G.P. SOUZA     1    02      F                  21
